timestamp,model,pattern,run_id,seed,grade,final_score,lost,energy_j,wall_s,avg_power_w,input_tokens,output_tokens,llm_calls,llm_failures,n_agents,baseline_power_w,concern_order
2026-06-23T13:15:24.333Z,nvidia/Gemma-4-26B-A4B-NVFP4,role,1,decidarch-classic-run1,Lost,17,true,23275,656.6,35.4,55884,18125,60,0,5,14.5,concern-3|concern-4|concern-1|concern-9|concern-2|concern-8|concern-5|concern-6|concern-21|concern-10
2026-06-23T13:31:52.602Z,nvidia/Gemma-4-26B-A4B-NVFP4,voting,1,decidarch-classic-run1,Good,17,false,35368.8,984.5,35.9,142036,27047,101,0,5,14.6,concern-3|concern-4|concern-1|concern-9|concern-2|concern-8|concern-5|concern-6|concern-21|concern-10
2026-06-23T14:01:30.021Z,nvidia/Gemma-4-26B-A4B-NVFP4,debate,1,decidarch-classic-run1,Good,18,false,64610.1,1773.6,36.4,424844,48136,160,0,5,14.9,concern-3|concern-4|concern-1|concern-9|concern-2|concern-8|concern-5|concern-6|concern-21|concern-10
2026-06-23T14:06:23.996Z,nvidia/Gemma-4-26B-A4B-NVFP4,baseline,2,decidarch-classic-run2,Lost,10,true,10153.2,290.1,35,7306,8048,10,0,1,14.1,concern-3|concern-10|concern-2|concern-21|concern-4|concern-9|concern-6|concern-1|concern-8|concern-5
2026-06-23T14:17:46.395Z,nvidia/Gemma-4-26B-A4B-NVFP4,role,2,decidarch-classic-run2,Lost,14,true,24036.7,678.6,35.4,57252,18781,60,0,5,14.8,concern-3|concern-10|concern-2|concern-21|concern-4|concern-9|concern-6|concern-1|concern-8|concern-5
2026-06-23T14:36:11.999Z,nvidia/Gemma-4-26B-A4B-NVFP4,voting,2,decidarch-classic-run2,Lost,12,true,39347.7,1101.8,35.7,138758,30362,101,0,5,14.6,concern-3|concern-10|concern-2|concern-21|concern-4|concern-9|concern-6|concern-1|concern-8|concern-5
2026-06-23T15:04:53.856Z,nvidia/Gemma-4-26B-A4B-NVFP4,debate,2,decidarch-classic-run2,Good,18,false,62527,1718.1,36.4,426708,46580,160,0,5,14.9,concern-3|concern-10|concern-2|concern-21|concern-4|concern-9|concern-6|concern-1|concern-8|concern-5
2026-06-23T15:08:55.247Z,nvidia/Gemma-4-26B-A4B-NVFP4,baseline,3,decidarch-classic-run3,Lost,9,true,8317,237.6,35,7267,6574,10,0,1,14.9,concern-10|concern-21|concern-9|concern-2|concern-4|concern-3|concern-5|concern-6|concern-1|concern-8
2026-06-23T15:18:57.919Z,nvidia/Gemma-4-26B-A4B-NVFP4,role,3,decidarch-classic-run3,Lost,6,true,21185.6,598.9,35.4,55831,16563,60,0,5,14.7,concern-10|concern-21|concern-9|concern-2|concern-4|concern-3|concern-5|concern-6|concern-1|concern-8
2026-06-23T15:37:41.646Z,nvidia/Gemma-4-26B-A4B-NVFP4,voting,3,decidarch-classic-run3,Sufficient,9,false,39980.4,1119.9,35.7,147330,30839,100,0,5,14.8,concern-10|concern-21|concern-9|concern-2|concern-4|concern-3|concern-5|concern-6|concern-1|concern-8
2026-06-23T16:09:50.422Z,nvidia/Gemma-4-26B-A4B-NVFP4,debate,3,decidarch-classic-run3,Lost,8,true,69659.2,1925,36.2,419463,52434,160,0,5,14.8,concern-10|concern-21|concern-9|concern-2|concern-4|concern-3|concern-5|concern-6|concern-1|concern-8
2026-06-23T16:15:27.563Z,nvidia/Gemma-4-26B-A4B-NVFP4,baseline,4,decidarch-classic-run4,Lost,9,true,11603.6,333.4,34.8,10127,9280,11,0,1,15.5,concern-3|concern-21|concern-4|concern-10|concern-1|concern-8|concern-5|concern-9|concern-2|concern-6
2026-06-23T16:26:44.328Z,nvidia/Gemma-4-26B-A4B-NVFP4,role,4,decidarch-classic-run4,Good,12,false,23620.7,673,35.1,57662,18704,60,0,5,14.7,concern-3|concern-21|concern-4|concern-10|concern-1|concern-8|concern-5|concern-9|concern-2|concern-6
2026-06-23T16:43:34.179Z,nvidia/Gemma-4-26B-A4B-NVFP4,voting,4,decidarch-classic-run4,Good,10,false,35610.2,1006.1,35.4,132855,27801,100,0,5,14.6,concern-3|concern-21|concern-4|concern-10|concern-1|concern-8|concern-5|concern-9|concern-2|concern-6
2026-06-23T17:13:50.687Z,nvidia/Gemma-4-26B-A4B-NVFP4,debate,4,decidarch-classic-run4,Lost,11,true,65264.2,1812.7,36,422367,49372,160,0,5,14.3,concern-3|concern-21|concern-4|concern-10|concern-1|concern-8|concern-5|concern-9|concern-2|concern-6
2026-06-23T17:17:01.259Z,nvidia/Gemma-4-26B-A4B-NVFP4,baseline,5,decidarch-classic-run5,Lost,9,true,6468.7,186.8,34.6,7291,5171,10,0,1,14.4,concern-4|concern-5|concern-9|concern-8|concern-10|concern-3|concern-21|concern-2|concern-1|concern-6
2026-06-23T17:28:00.677Z,nvidia/Gemma-4-26B-A4B-NVFP4,role,5,decidarch-classic-run5,Lost,9,true,23063.1,655.6,35.2,58173,18183,60,0,5,14.5,concern-4|concern-5|concern-9|concern-8|concern-10|concern-3|concern-21|concern-2|concern-1|concern-6
2026-06-23T17:42:41.156Z,nvidia/Gemma-4-26B-A4B-NVFP4,voting,5,decidarch-classic-run5,Lost,7,true,31031.6,876.7,35.4,126690,24199,100,0,5,14.7,concern-4|concern-5|concern-9|concern-8|concern-10|concern-3|concern-21|concern-2|concern-1|concern-6
2026-06-23T18:11:25.565Z,nvidia/Gemma-4-26B-A4B-NVFP4,debate,5,decidarch-classic-run5,Good,12,false,61848.9,1720.6,35.9,408833,46876,160,0,5,14.3,concern-4|concern-5|concern-9|concern-8|concern-10|concern-3|concern-21|concern-2|concern-1|concern-6
